,MONTH_NAME,MONTH,AIRLINE_x,DELAYS_COUNT,ON_TIME_COUNT,TOTAL_COUNT,IATA_CODE,AIRLINE_y
0,Apr,4,AA,16213,27966,44179,AA,American Airlines Inc.
1,Apr,4,AS,3986,9899,13885,AS,Alaska Airlines Inc.
2,Apr,4,B6,7346,14469,21815,B6,JetBlue Airways
3,Apr,4,DL,21867,50029,71896,DL,Delta Air Lines Inc.
4,Apr,4,EV,18016,30119,48135,EV,Atlantic Southeast Airlines
5,Apr,4,F9,3635,3457,7092,F9,Frontier Airlines Inc.
6,Apr,4,HA,2095,3984,6079,HA,Hawaiian Airlines Inc.
7,Apr,4,MQ,9012,15716,24728,MQ,American Eagle Airlines Inc.
8,Apr,4,NK,4303,5112,9415,NK,Spirit Air Lines
9,Apr,4,OO,16959,31536,48495,OO,Skywest Airlines Inc.
10,Apr,4,UA,15015,25850,40865,UA,United Air Lines Inc.
11,Apr,4,WN,38734,66786,105520,WN,Southwest Airlines Co.
12,Aug,8,AA,26902,51806,78708,AA,American Airlines Inc.
13,Aug,8,AS,6414,9617,16031,AS,Alaska Airlines Inc.
14,Aug,8,B6,9685,13821,23506,B6,JetBlue Airways
15,Aug,8,DL,23478,57197,80675,DL,Delta Air Lines Inc.
16,Aug,8,EV,16821,30847,47668,EV,Atlantic Southeast Airlines
17,Aug,8,F9,3437,4666,8103,F9,Frontier Airlines Inc.
18,Aug,8,HA,3398,3452,6850,HA,Hawaiian Airlines Inc.
19,Aug,8,MQ,6909,16207,23116,MQ,American Eagle Airlines Inc.
20,Aug,8,NK,5580,4647,10227,NK,Spirit Air Lines
21,Aug,8,OO,19958,31828,51786,OO,Skywest Airlines Inc.
22,Aug,8,UA,16154,28787,44941,UA,United Air Lines Inc.
23,Aug,8,WN,39855,66832,106687,WN,Southwest Airlines Co.
24,Dec,12,AA,28195,46883,75078,AA,American Airlines Inc.
25,Dec,12,AS,4838,9472,14310,AS,Alaska Airlines Inc.
26,Dec,12,B6,11084,12113,23197,B6,JetBlue Airways
27,Dec,12,DL,21740,48548,70288,DL,Delta Air Lines Inc.
28,Dec,12,EV,15608,26822,42430,EV,Atlantic Southeast Airlines
29,Dec,12,F9,3117,4901,8018,F9,Frontier Airlines Inc.
30,Dec,12,HA,1820,4435,6255,HA,Hawaiian Airlines Inc.
31,Dec,12,MQ,5670,14421,20091,MQ,American Eagle Airlines Inc.
32,Dec,12,NK,5238,5235,10473,NK,Spirit Air Lines
33,Dec,12,OO,20458,25526,45984,OO,Skywest Airlines Inc.
34,Dec,12,UA,14444,28110,42554,UA,United Air Lines Inc.
35,Dec,12,WN,44708,60861,105569,WN,Southwest Airlines Co.
36,Feb,2,AA,15251,21929,37180,AA,American Airlines Inc.
37,Feb,2,AS,3967,8061,12028,AS,Alaska Airlines Inc.
38,Feb,2,B6,10013,8370,18383,B6,JetBlue Airways
39,Feb,2,DL,21568,37502,59070,DL,Delta Air Lines Inc.
40,Feb,2,EV,19248,22757,42005,EV,Atlantic Southeast Airlines
41,Feb,2,F9,3354,2337,5691,F9,Frontier Airlines Inc.
42,Feb,2,HA,3031,2742,5773,HA,Hawaiian Airlines Inc.
43,Feb,2,MQ,13074,9918,22992,MQ,American Eagle Airlines Inc.
44,Feb,2,NK,4122,3691,7813,NK,Spirit Air Lines
45,Feb,2,OO,18608,23841,42449,OO,Skywest Airlines Inc.
46,Feb,2,UA,15341,19831,35172,UA,United Air Lines Inc.
47,Feb,2,WN,33716,52828,86544,WN,Southwest Airlines Co.
48,Jan,1,AA,17957,25117,43074,AA,American Airlines Inc.
49,Jan,1,AS,4462,8689,13151,AS,Alaska Airlines Inc.
50,Jan,1,B6,8643,11839,20482,B6,JetBlue Airways
51,Jan,1,DL,17589,46087,63676,DL,Delta Air Lines Inc.
52,Jan,1,EV,20612,27472,48084,EV,Atlantic Southeast Airlines
53,Jan,1,F9,3543,3192,6735,F9,Frontier Airlines Inc.
54,Jan,1,HA,2831,3577,6408,HA,Hawaiian Airlines Inc.
55,Jan,1,MQ,14823,12745,27568,MQ,American Eagle Airlines Inc.
56,Jan,1,NK,4116,4516,8632,NK,Spirit Air Lines
57,Jan,1,OO,20980,25675,46655,OO,Skywest Airlines Inc.
58,Jan,1,UA,15351,22012,37363,UA,United Air Lines Inc.
59,Jan,1,WN,37826,60234,98060,WN,Southwest Airlines Co.
60,Jul,7,AA,28772,51878,80650,AA,American Airlines Inc.
61,Jul,7,AS,5499,10232,15731,AS,Alaska Airlines Inc.
62,Jul,7,B6,9013,14734,23747,B6,JetBlue Airways
63,Jul,7,DL,24497,55889,80386,DL,Delta Air Lines Inc.
64,Jul,7,EV,18841,30480,49321,EV,Atlantic Southeast Airlines
65,Jul,7,F9,4004,4034,8038,F9,Frontier Airlines Inc.
66,Jul,7,HA,2791,4145,6936,HA,Hawaiian Airlines Inc.
67,Jul,7,MQ,8133,15914,24047,MQ,American Eagle Airlines Inc.
68,Jul,7,NK,5083,5119,10202,NK,Spirit Air Lines
69,Jul,7,OO,20178,31480,51658,OO,Skywest Airlines Inc.
70,Jul,7,UA,19220,26653,45873,UA,United Air Lines Inc.
71,Jul,7,WN,51303,61108,112411,WN,Southwest Airlines Co.
72,Jun,6,AA,16886,26728,43614,AA,American Airlines Inc.
73,Jun,6,AS,4952,10033,14985,AS,Alaska Airlines Inc.
74,Jun,6,B6,7605,14641,22246,B6,JetBlue Airways
75,Jun,6,DL,25751,51009,76760,DL,Delta Air Lines Inc.
76,Jun,6,EV,21445,25709,47154,EV,Atlantic Southeast Airlines
77,Jun,6,F9,3947,3867,7814,F9,Frontier Airlines Inc.
78,Jun,6,HA,2424,4239,6663,HA,Hawaiian Airlines Inc.
79,Jun,6,MQ,10151,13840,23991,MQ,American Eagle Airlines Inc.
80,Jun,6,NK,5981,3344,9325,NK,Spirit Air Lines
81,Jun,6,OO,20293,28765,49058,OO,Skywest Airlines Inc.
82,Jun,6,UA,22194,22551,44745,UA,United Air Lines Inc.
83,Jun,6,WN,49663,57713,107376,WN,Southwest Airlines Co.
84,Mar,3,AA,18683,25757,44440,AA,American Airlines Inc.
85,Mar,3,AS,4506,9690,14196,AS,Alaska Airlines Inc.
86,Mar,3,B6,9315,12712,22027,B6,JetBlue Airways
87,Mar,3,DL,24280,49227,73507,DL,Delta Air Lines Inc.
88,Mar,3,EV,21128,30747,51875,EV,Atlantic Southeast Airlines
89,Mar,3,F9,3854,3026,6880,F9,Frontier Airlines Inc.
90,Mar,3,HA,2959,3335,6294,HA,Hawaiian Airlines Inc.
91,Mar,3,MQ,12031,14031,26062,MQ,American Eagle Airlines Inc.
92,Mar,3,NK,4039,5215,9254,NK,Spirit Air Lines
93,Mar,3,OO,17748,31687,49435,OO,Skywest Airlines Inc.
94,Mar,3,UA,16434,26437,42871,UA,United Air Lines Inc.
95,Mar,3,WN,39855,66999,106854,WN,Southwest Airlines Co.
96,May,5,AA,15660,27951,43611,AA,American Airlines Inc.
