,MONTH,MONTH_NAME,DAY,STATUS,COUNTS
0,1,Jan,1,DELAYED,5277
1,1,Jan,1,ON_TIME,7007
2,1,Jan,2,DELAYED,7852
3,1,Jan,2,ON_TIME,7254
4,1,Jan,3,DELAYED,9378
5,1,Jan,3,ON_TIME,4498
6,1,Jan,4,DELAYED,10245
7,1,Jan,4,ON_TIME,4319
8,1,Jan,5,DELAYED,8428
9,1,Jan,5,ON_TIME,6321
10,1,Jan,6,DELAYED,7695
11,1,Jan,6,ON_TIME,6070
12,1,Jan,7,DELAYED,6965
13,1,Jan,7,ON_TIME,6996
14,1,Jan,8,DELAYED,6187
15,1,Jan,8,ON_TIME,7605
16,1,Jan,9,DELAYED,6954
17,1,Jan,9,ON_TIME,7241
18,1,Jan,10,DELAYED,3994
19,1,Jan,10,ON_TIME,7132
20,1,Jan,11,DELAYED,5945
21,1,Jan,11,ON_TIME,7204
22,1,Jan,12,DELAYED,8142
23,1,Jan,12,ON_TIME,6043
24,1,Jan,13,DELAYED,5424
25,1,Jan,13,ON_TIME,8407
26,1,Jan,14,DELAYED,4284
27,1,Jan,14,ON_TIME,9763
28,1,Jan,15,DELAYED,5507
29,1,Jan,15,ON_TIME,9073
30,1,Jan,16,DELAYED,5185
31,1,Jan,16,ON_TIME,9478
32,1,Jan,17,DELAYED,2372
33,1,Jan,17,ON_TIME,8641
34,1,Jan,18,DELAYED,3623
35,1,Jan,18,ON_TIME,8908
36,1,Jan,19,DELAYED,4068
37,1,Jan,19,ON_TIME,10480
38,1,Jan,20,DELAYED,4002
39,1,Jan,20,ON_TIME,9913
40,1,Jan,21,DELAYED,5061
41,1,Jan,21,ON_TIME,9039
42,1,Jan,22,DELAYED,5048
43,1,Jan,22,ON_TIME,9516
44,1,Jan,23,DELAYED,5241
45,1,Jan,23,ON_TIME,9363
46,1,Jan,24,DELAYED,3426
47,1,Jan,24,ON_TIME,7611
48,1,Jan,25,DELAYED,4513
49,1,Jan,25,ON_TIME,8818
50,1,Jan,26,DELAYED,5039
51,1,Jan,26,ON_TIME,8145
52,1,Jan,27,DELAYED,2412
53,1,Jan,27,ON_TIME,9144
54,1,Jan,28,DELAYED,3297
55,1,Jan,28,ON_TIME,10261
56,1,Jan,29,DELAYED,4557
57,1,Jan,29,ON_TIME,10036
58,1,Jan,30,DELAYED,5744
59,1,Jan,30,ON_TIME,8871
60,1,Jan,31,DELAYED,2868
61,1,Jan,31,ON_TIME,7998
62,2,Feb,1,DELAYED,4100
63,2,Feb,1,ON_TIME,6282
64,2,Feb,2,DELAYED,5902
65,2,Feb,2,ON_TIME,6159
66,2,Feb,3,DELAYED,5574
67,2,Feb,3,ON_TIME,7854
68,2,Feb,4,DELAYED,5900
69,2,Feb,4,ON_TIME,8016
70,2,Feb,5,DELAYED,6942
71,2,Feb,5,ON_TIME,7346
72,2,Feb,6,DELAYED,4549
73,2,Feb,6,ON_TIME,9909
74,2,Feb,7,DELAYED,2623
75,2,Feb,7,ON_TIME,8540
76,2,Feb,8,DELAYED,4337
77,2,Feb,8,ON_TIME,8715
78,2,Feb,9,DELAYED,5366
79,2,Feb,9,ON_TIME,8151
80,2,Feb,10,DELAYED,3851
81,2,Feb,10,ON_TIME,9981
82,2,Feb,11,DELAYED,3989
83,2,Feb,11,ON_TIME,10204
84,2,Feb,12,DELAYED,6017
85,2,Feb,12,ON_TIME,8910
86,2,Feb,13,DELAYED,6073
87,2,Feb,13,ON_TIME,9014
88,2,Feb,14,DELAYED,4425
89,2,Feb,14,ON_TIME,6682
90,2,Feb,15,DELAYED,4839
91,2,Feb,15,ON_TIME,7093
92,2,Feb,16,DELAYED,7785
93,2,Feb,16,ON_TIME,6203
94,2,Feb,17,DELAYED,7463
95,2,Feb,17,ON_TIME,6616
96,2,Feb,18,DELAYED,6890
97,2,Feb,18,ON_TIME,7880
98,2,Feb,19,DELAYED,6747
99,2,Feb,19,ON_TIME,8213
100,2,Feb,20,DELAYED,6931
101,2,Feb,20,ON_TIME,7903
102,2,Feb,21,DELAYED,5008
103,2,Feb,21,ON_TIME,5951
104,2,Feb,22,DELAYED,7165
105,2,Feb,22,ON_TIME,6089
106,2,Feb,23,DELAYED,6542
107,2,Feb,23,ON_TIME,7208
108,2,Feb,24,DELAYED,6071
109,2,Feb,24,ON_TIME,7800
110,2,Feb,25,DELAYED,6209
111,2,Feb,25,ON_TIME,7577
112,2,Feb,26,DELAYED,8519
113,2,Feb,26,ON_TIME,5985
114,2,Feb,27,DELAYED,6671
115,2,Feb,27,ON_TIME,7658
116,2,Feb,28,DELAYED,4805
117,2,Feb,28,ON_TIME,5868
118,3,Mar,1,DELAYED,7634
119,3,Mar,1,ON_TIME,4815
120,3,Mar,2,DELAYED,8238
121,3,Mar,2,ON_TIME,6320
122,3,Mar,3,DELAYED,8019
123,3,Mar,3,ON_TIME,5773
124,3,Mar,4,DELAYED,6518
125,3,Mar,4,ON_TIME,7239
126,3,Mar,5,DELAYED,6456
127,3,Mar,5,ON_TIME,6179
128,3,Mar,6,DELAYED,7496
129,3,Mar,6,ON_TIME,7372
130,3,Mar,7,DELAYED,4323
131,3,Mar,7,ON_TIME,8723
132,3,Mar,8,DELAYED,5351
133,3,Mar,8,ON_TIME,9370
134,3,Mar,9,DELAYED,5172
135,3,Mar,9,ON_TIME,10239
136,3,Mar,10,DELAYED,4899
137,3,Mar,10,ON_TIME,10039
138,3,Mar,11,DELAYED,5471
139,3,Mar,11,ON_TIME,9772
140,3,Mar,12,DELAYED,6141
141,3,Mar,12,ON_TIME,9414
142,3,Mar,13,DELAYED,6065
143,3,Mar,13,ON_TIME,9534
144,3,Mar,14,DELAYED,4758
145,3,Mar,14,ON_TIME,8445
146,3,Mar,15,DELAYED,5236
147,3,Mar,15,ON_TIME,9502
148,3,Mar,16,DELAYED,4305
149,3,Mar,16,ON_TIME,11217
150,3,Mar,17,DELAYED,4625
151,3,Mar,17,ON_TIME,10396
152,3,Mar,18,DELAYED,4608
153,3,Mar,18,ON_TIME,10639
154,3,Mar,19,DELAYED,5241
155,3,Mar,19,ON_TIME,10322
156,3,Mar,20,DELAYED,6673
157,3,Mar,20,ON_TIME,8387
158,3,Mar,21,DELAYED,4731
159,3,Mar,21,ON_TIME,8424
160,3,Mar,22,DELAYED,5279
161,3,Mar,22,ON_TIME,9535
162,3,Mar,23,DELAYED,6246
163,3,Mar,23,ON_TIME,8561
164,3,Mar,24,DELAYED,4538
165,3,Mar,24,ON_TIME,10465
166,3,Mar,25,DELAYED,5798
167,3,Mar,25,ON_TIME,9532
168,3,Mar,26,DELAYED,6890
169,3,Mar,26,ON_TIME,8560
170,3,Mar,27,DELAYED,6963
171,3,Mar,27,ON_TIME,8564
172,3,Mar,28,DELAYED,3939
173,3,Mar,28,ON_TIME,9223
