,MONTH,MONTH_NAME,STATUS,COUNTS
0,1,Jan,DELAYED,168733
1,1,Jan,ON_TIME,251155
2,2,Feb,DELAYED,161293
3,2,Feb,ON_TIME,213807
4,3,Mar,DELAYED,174832
5,3,Mar,ON_TIME,278863
6,4,Apr,DELAYED,157181
7,4,Apr,ON_TIME,284923
8,5,May,DELAYED,161729
9,5,May,ON_TIME,289268
10,6,Jun,DELAYED,191292
11,6,Jun,ON_TIME,262439
12,7,Jul,DELAYED,197334
13,7,Jul,ON_TIME,311666
14,8,Aug,DELAYED,178591
15,8,Aug,ON_TIME,319707
16,9,Sep,DELAYED,131638
17,9,Sep,ON_TIME,325374
18,10,Oct,DELAYED,139314
19,10,Oct,ON_TIME,338129
20,11,Nov,DELAYED,147574
21,11,Nov,ON_TIME,309448
22,12,Dec,DELAYED,176920
23,12,Dec,ON_TIME,287327
