IATA_CODE,DESTINATION_AIRPORT_CODE,AIRPORT
MSP,0,Minneapolis-Saint Paul International Airport
MIA,1,Miami International Airport
DTW,2,Detroit Metropolitan Airport
ATL,3,Hartsfield-Jackson Atlanta International Airport
IND,4,Indianapolis International Airport
SEA,5,Seattle-Tacoma International Airport
IAH,6,George Bush Intercontinental Airport
PDX,7,Portland International Airport
BOS,8,Gen. Edward Lawrence Logan International Airport
PHL,9,Philadelphia International Airport
MCI,10,Kansas City International Airport
STL,11,St. Louis International Airport at Lambert Field
DFW,12,Dallas/Fort Worth International Airport
MSY,13,Louis Armstrong New Orleans International Airport
TPA,14,Tampa International Airport
CLT,15,Charlotte Douglas International Airport
ORD,16,Chicago O'Hare International Airport
PHX,17,Phoenix Sky Harbor International Airport
EWR,18,Newark Liberty International Airport
JFK,19,John F. Kennedy International Airport (New York International Airport)
FLL,20,Fort Lauderdale-Hollywood International Airport
BDL,21,Bradley International Airport
ITO,22,Hilo International Airport
SFO,23,San Francisco International Airport
KOA,24,Kona International Airport at Keahole
OGG,25,Kahului Airport
SLC,26,Salt Lake City International Airport
LIH,27,Lihue Airport
MDW,28,Chicago Midway International Airport
BWI,29,Baltimore-Washington International Airport
LAS,30,McCarran International Airport
SJU,31,Luis Muñoz Marín International Airport
LAX,32,Los Angeles International Airport
IAD,33,Washington Dulles International Airport
BQN,34,Rafael Hernández Airport
BUF,35,Buffalo Niagara International Airport
HOU,36,William P. Hobby Airport
CLE,37,Cleveland Hopkins International Airport
RSW,38,Southwest Florida International Airport
LGA,39,LaGuardia Airport (Marine Air Terminal)
DAL,40,Dallas Love Field
SAN,41,San Diego International Airport (Lindbergh Field)
SMF,42,Sacramento International Airport
SJC,43,Norman Y. Mineta San José International Airport
ONT,44,Ontario International Airport
JNU,45,Juneau International Airport
ANC,46,Ted Stevens Anchorage International Airport
OAK,47,Oakland International Airport
PBI,48,Palm Beach International Airport
LGB,49,Long Beach Airport (Daugherty Field)
DCA,50,Ronald Reagan Washington National Airport
CVG,51,Cincinnati/Northern Kentucky International Airport
TTN,52,Trenton Mercer Airport
BTR,53,Baton Rouge Metropolitan Airport
RHI,54,Rhinelander-Oneida County Airport
BRD,55,Brainerd Lakes Regional Airport
BUR,56,Bob Hope Airport (Hollywood Burbank Airport)
SNA,57,John Wayne Airport (Orange County Airport)
BNA,58,Nashville International Airport
HNL,59,Honolulu International Airport
MBS,60,MBS International Airport
